@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R32-74

@attribute Sigdist numeric
@attribute AVXV numeric
@attribute AYXV numeric
@attribute VEL1Y numeric
@attribute VEL1X numeric
@attribute VEL4X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VeLXZero numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute ME numeric
@attribute DIF1 numeric
@attribute ER numeric
@attribute DIF2 numeric
@attribute RI numeric
@attribute DIF3 numeric
@attribute CA numeric
@attribute DIF4 numeric
@attribute SE numeric
@attribute DIF5 numeric
@attribute IC numeric
@attribute DIF6 numeric
@attribute NO numeric
@attribute DIF7 numeric
@attribute RR numeric
@attribute DIF8 numeric
@attribute DE numeric
@attribute DIF9 numeric
@attribute EL numeric
@attribute DIF10 numeric
@attribute IR numeric
@attribute TOT numeric
@attribute STD numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
2305.43256,0.0635,-0.011419,0,0.5,-1.112525,39.973686,-0.070659,-0.068223,0.052132,-0.004919,-0.185109,4.36012,2308.25892,529.4026,36.306,66,65,0.441681,1128.614793,915.449501,735182294.316716,4.36012,36306,188,-17691,-18615,-17082,-18901,0,7,237,46,191,-2,193,-97,290,131,159,-38,197,-21,218,-158,376,125,251,-42,293,75,218,2623,61.560318,48
2337.692355,0.116704,-0.006165,0.1489,0.046755,-1.035175,100.060279,-0.120851,-0.05068,0.05208,-0.003022,-0.111011,7.582631,2349.29003,309.8252,20.031,49,35,0.496364,1145.262554,1052.240141,358723510.959692,7.582631,20031,154,-10441,-9590,-10310,-9704,0,6,145,-75,220,-16,236,-1,237,-179,416,248,168,-257,425,49,376,208,168,-75,243,32,211,2845,100.271903,48
2422.775462,0.131337,-0.009716,0,0,0.154187,90.029428,0.131572,-0.185175,0,0,-0.145816,7.661488,2423.750062,316.355,18.447,37,35,0.445521,1226.472694,1028.997673,326319732.72327,7.661488,18447,142,-10059,-8388,-8947,-9483,0,15,124,-76,200,-75,275,-19,294,75,219,22,197,-29,226,99,127,-124,251,-42,293,92,201,2407,58.281761,48
1632.27173,0.080662,0.013018,-0.001624,0,-8.922827,-8.88677,-0.125308,-0.013926,0,0.003108,0.062846,6.151508,1721.83808,279.90505,20.236,50,44,0.348968,1095.556578,810.025641,169995997.524494,6.151508,20236,150,-11333,-8903,-8193,-12027,8,8,618,551,67,-130,197,58,139,-36,175,-74,249,61,188,56,132,-26,158,41,117,26,91,2131,149.679051,49
1618.33487,0.095822,0.017479,0.012941,-0.0342,-6.397146,0,-0.233315,-0.437093,0.022876,0.003589,0.282265,5.299451,1756.0467,331.3639,16.889,51,50,0.384799,1079.736976,765.972193,166746213.712899,5.299451,16889,160,-11903,-4986,-7341,-9531,0,7,140,-21,161,54,107,-106,213,46,167,8,159,1,158,26,132,-39,171,-87,258,97,161,1827,40.218042,49
1701.46871,0.112412,0.017971,0.195946,0,-5.442382,-20.664828,0.012995,-0.37035,0,0.007706,0.057429,5.916477,1849.21924,312.5541,15.136,50,50,0.433652,1067.950352,804.664582,166814684.841878,5.916477,15136,146,-9593,-5543,-6757,-8362,7,7,96,-29,125,-60,185,-112,297,118,179,-70,249,61,188,37,151,-7,158,41,117,-147,264,2009,63.948843,49
2189.6495,0.085297,0.000513,-0.132693,-0.091702,-1.334063,-786.216106,-0.09074,-0.020168,0.071833,0.000344,-0.284369,8.586284,2295.394364,267.3327,25.671,45,36,0.536266,1181.572561,857.537932,1021922540.19514,8.586284,25671,160,-15266,-10405,-12480,-13174,0,7,203,113,90,-42,132,-34,166,13,153,77,76,-94,170,-36,206,111,95,-84,179,46,133,1603,44.681296,50
2299.48755,0.107548,0.000319,0.085173,0,-1.780057,-1646.88926,-0.024366,-0.05482,0,0.000156,-0.260421,8.001029,2414.198791,301.73605,21.381,36,38,0.530458,1179.986119,961.932628,759483302.47401,8.001029,21381,138,-12438,-8943,-10569,-10795,0,7,168,-348,516,418,98,-101,199,107,92,-85,177,48,129,-77,206,122,84,-104,188,-22,210,2067,118.59465,50
2199.20055,0.105139,-0.001682,-0.300459,0,-1.058824,279.103641,0.069615,-0.009284,0,-0.001027,-0.21897,9.035828,2290.521217,253.49324,20.917,45,40,0.449227,1086.785826,900.236639,711137992.717049,9.035828,20917,152,-11181,-9736,-10050,-10833,7,7,75,-90,165,52,113,1,112,-84,196,120,76,-47,123,-16,139,44,95,-84,179,0,179,1452,42.717678,50
1762.3817,0.122498,0.0126,-0.176638,0.079437,-0.773845,-23.193472,-0.020886,-0.062654,0.066597,0.005879,0.182637,5.479682,1901.75049,347.05487,14.387,35,32,0.609384,1225.922734,696.024326,135887241.285351,5.479682,14387,118,-10171,-4216,-6740,-7630,0,16,210,62,148,45,103,-109,212,65,147,-161,308,166,142,-24,166,50,116,-59,175,14,161,1888,56.305014,51
1722.81262,0.125086,0.020754,0.612903,0.03799,-1.322153,-10.923024,0.08818,-0.2042,0.025179,0.006873,0.144181,4.319153,1875.72844,434.28156,13.773,34,31,0.597679,1129.286159,728.355161,113938422.181969,4.319153,13773,118,-8526,-5247,-6041,-7716,0,7,150,43,107,-76,183,51,132,-33,165,39,126,7,119,-47,166,41,125,-2,127,-59,186,1586,27.124963,51
1627.88596,0.134414,0.018275,-0.373134,-0.045763,-1.198263,-7.342729,-0.064974,-0.105586,0.036318,0.007468,0.015913,5.298619,1743.37694,329.02478,12.111,29,29,0.593228,1108.082194,673.186804,102807294.629808,5.298619,12111,111,-8565,-3546,-5885,-6210,0,8,164,11,153,-22,175,26,149,-61,210,-98,308,-62,370,77,293,177,116,-59,175,-93,268,2381,80.852166,51
1315.23204,0.085616,0.010417,-0.057063,0,-3.666092,-5.194886,-0.314039,-0.054144,0,0.003794,-0.444151,6.456328,1352.8519,209.5389,15.362,36,41,0.488606,1070.78247,696.438046,162141274.693177,6.456328,15362,134,-11149,-4213,-8130,-7216,8,8,201,-92,293,174,119,-212,331,75,256,-30,286,4,282,-123,405,28,377,171,206,-4,210,2966,83.532356,52
206.8059,0.011068,-0.017659,-0.07787,0.031515,-21.492225,6.326937,-0.23742,8.526316,0.000909,-0.002072,-0.650976,1.990249,1303.04944,654.7168,18.685,36,35,0.5195,1327.378311,669.045472,143907087.562856,1.990249,18685,144,-18468,-217,-11518,-7151,0,8,211,-12,223,45,178,-177,355,86,269,109,160,-42,202,-203,405,202,203,-57,260,16,244,2710,74.46378,52
4.9818,0.000342,-0.016213,-0.000263,0.019965,-1615.675282,0,-0.46865,0.169995,0.000184,-0.000701,-0.291937,1.742238,1037.76154,595.64864,14.573,36,22,0.626187,1217.457415,690.398662,97249128.827904,1.742238,14573,128,-14573,0,-8188,-6369,17,17,120,-96,216,-2,218,-54,272,-6,278,-8,286,-17,303,110,193,-184,377,171,206,-111,317,2786,70.80832,52
617.2336,0.034455,-0.006817,-0.011458,0,-40.584686,123.399734,-0.272106,-0.841536,0,-0.000338,-0.166036,3.78234,1640.65315,433.7667,17.914,57,36,0.615888,1236.01183,736.694321,375033416.438214,3.78234,17914,154,-15741,-2173,-10244,-7638,15,15,334,58,276,132,144,-418,562,394,168,25,143,-179,322,196,126,-39,165,-154,319,151,168,2727,131.797917,53
1515.22138,0.082912,0.004208,0.106396,0.006456,0.309215,-60.485928,0.144242,-0.02339,0.020757,0.003005,-0.389845,7.685178,1515.22138,197.16152,18.275,39,36,0.549741,1182.786634,593.195153,322934651.069896,7.685178,18275,133,-17018,-1257,-9637,-8621,0,8,179,7,172,28,144,-169,313,145,168,-186,354,169,185,59,126,-25,151,-390,541,329,212,2545,124.730327,53
1427.89658,0.075454,-0.000201,-0.001278,-0.018413,-1.223148,0,-0.10632,-0.147666,0.023299,-0.000021,0.044327,2.50163,1786.60775,714.17757,18.924,61,42,0.56661,1113.58241,660.346254,356202375.892552,2.50163,18924,162,-15920,-3004,-11174,-7734,13,13,177,-20,197,18,179,6,173,-14,187,44,143,-81,224,89,135,-30,165,-154,319,60,259,2158,53.510407,53
879.9507,0.074433,-0.017391,0.019959,0.044672,-17.641902,36.916531,-1.331719,27,0.028837,-0.000645,-0.098648,3.282814,1494.07256,455.1195,11.822,31,22,0.564222,1275.326682,602.336232,130282946.016951,3.282814,11822,113,-10019,-1803,-5706,-6099,7,7,1051,849,202,-8,210,-291,501,317,184,-12,196,10,186,-563,749,546,203,-56,259,120,139,3880,294.517263,54
1018.0428,0.053343,-0.003929,0.016694,0.045467,-64.883434,0,-5.030303,0.482175,0.019685,-0.000146,0.978215,2.509656,1956.4923,779.58584,19.085,29,23,0.561442,1426.186369,754.832005,170246862.919997,2.509656,19085,105,-16172,-2913,-11598,-7471,34,34,175,71,104,-11,115,-307,422,247,175,-67,242,106,136,-613,749,574,175,-105,280,86,194,2767,187.635478,54
1883.58182,0.144824,-0.014719,-0.019428,-0.341362,0.594574,0,0.300324,-0.013909,0.123265,-0.000818,-0.044539,4.200808,1883.58182,448.38564,13.006,28,20,0.611587,1434.744607,696.781893,111756265.632137,4.200808,13006,101,-9518,-3488,-4828,-8161,17,17,131,-80,211,35,176,9,167,-65,232,36,196,33,163,-344,507,304,203,-56,259,58,201,2446,100.5955,54
1113.9758,0.039316,0.006009,0,0,-0.19065,-91.49693,-0.007497,-0.014993,0,0,-0.194582,4.660004,1694.9391,363.7205,28.334,47,31,0.498935,1170.552136,658.384439,423887165.389384,4.660004,28334,167,-21619,-6715,-13349,-14968,0,7,439,174,265,138,127,-254,381,112,269,-286,555,222,333,155,178,-152,330,39,291,19,272,3440,117.889008,55
1136.29428,0.071465,0.013038,-0.15433,0.133398,-1.83155,-78.721049,0.303457,-0.808475,0.014498,0.00482,-0.170029,4.337135,1831.9687,422.39142,15.9,26,28,0.624526,1266.838783,603.222955,367042199.633463,4.337135,15900,140,-15139,-761,-3684,-12199,7,7,280,68,212,45,167,70,97,-160,257,-121,378,159,219,41,178,-24,202,-258,460,191,269,2719,100.944359,55
1117.38684,0.072998,0.015274,-0.2,0.147059,0.201433,-44.953874,0.175429,0.011138,0.017673,0.005395,-0.198006,4.07103,1648.54764,404.94605,15.307,32,26,0.606101,1113.161415,516.958734,255542364.633709,4.07103,15307,142,-15055,-252,-3679,-11612,7,7,133,-42,175,-356,531,389,142,-189,331,-224,555,243,312,144,168,-162,330,39,291,-175,466,3434,152.413135,55
899.85462,0.025159,0.014774,-0.080745,0.341989,-0.120948,0,0.150621,-0.00886,0.015455,0.008005,-0.389991,3.369891,2094.72277,621.59955,35.767,131,98,0.700157,1051.38829,565.859091,1579090387.24654,3.369891,35767,213,-25768,-9999,-8745,-27005,17,17,265,162,103,-769,872,624,248,110,138,-16,154,-17,171,25,146,-1,147,2,145,56,89,2478,220.990539,56
735.14595,0.028618,0.016762,-0.336061,0.068724,-0.192604,-6.118704,0.074378,-0.102589,0.005816,0.00782,-0.273722,3.990526,2046.08976,512.73685,25.688,82,55,0.694733,1197.705547,633.419499,1020939587.2383,3.990526,25688,166,-25454,-234,-6467,-19205,7,7,98,-54,152,5,147,37,110,-32,142,-3,145,23,122,-24,146,26,120,5,115,23,92,1389,21.218345,56
234.97774,0.009408,0.00201,-0.088236,0.235865,-0.216693,-11.522431,0.085995,-0.005734,0.003281,0.000937,-0.281635,3.622729,1785.47995,492.85492,24.977,81,44,0.680262,924.202,475.66919,758619285.009971,3.622729,24977,144,-21277,-3700,-6408,-18552,0,8,98,-56,154,-232,386,185,201,25,176,22,154,-33,187,-14,201,54,147,2,145,29,116,1965,76.058231,56
1358.60216,0.070463,0.00741,-0.355281,0.05999,-6.291012,-27.068045,-0.022932,-0.200653,0.024587,0.00403,-0.448761,9.598348,1518.24269,158.1775,19.281,36,35,0.510958,892.382674,1155.194875,120038506.039887,9.598348,19281,170,-5280,-14001,-7245,-12019,0,0,743,510,233,-70,303,49,254,112,142,-44,186,-13,199,23,176,26,150,-33,183,69,114,2683,173.94738,57
787.44015,0.018488,0.018642,0,0,-1.344332,0,-0.023507,0.024616,0,0,-0.534426,1.834269,1488.80952,811.66362,42.593,45,40,0.476538,841.82333,1135.838655,107189946.964805,1.834269,42593,180,-3228,-39365,-7945,-34631,15,0,199,-30,229,141,88,-160,248,51,197,-99,296,118,178,2,176,42,134,44,90,-163,253,2088,66.407557,57
