@ATTRIBUTE	DIF7	NUMERIC
@ATTRIBUTE	RR	NUMERIC
@ATTRIBUTE	DIF8	NUMERIC
@ATTRIBUTE	DE	NUMERIC
@ATTRIBUTE	DIF9	NUMERIC
@ATTRIBUTE	EL	NUMERIC
@ATTRIBUTE	DIF10	NUMERIC
@ATTRIBUTE	IR	NUMERIC
@ATTRIBUTE	TOT	NUMERIC
@ATTRIBUTE	STD	NUMERIC
@ATTRIBUTE class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}
@DATA

2288.86445,0.1073928799,0.0105951626,0.1571828152,0.0563728005,-0.028348762,-24.0147051984,0.0194926667,0.0649733333,0.0146963707,0.0050098695,-0.3101015918,7.3146587226,2309.0388,315.6728,21.313,43,27,0.5683052175,1417.7509558292,413.2004208045,572361574.053708,7.3146587226,21313,134,-19149,-2164,-8986,-12310,8,8,17,0,94,94,141,78,78,62,63,63,141,281,281,47,47,32,187,47,62,94,62,125,31,63,47,140,234,47,78,63,93,156,47,15,93,16,16,78,94,47,94,47,3734,389,37,352,210,142,-85,227,-14,241,-194,435,130,305,184,121,-87,208,-31,239,1,238,2897,97.9563910394,47
1909.54745,0.1077805187,0.0063755749,0,0,-0.5553583152,0,-0.0029533333,0.1624333333,0,0,-0.09962499,6.6932002291,2085.46378,311.57947,17.717,62,42,0.5634251902,1233.5695725,389.6676152392,505184510.114155,6.6932002291,17717,141,-16115,-1602,-8701,-9000,8,8,8,0,78,156,78,125,63,62,32,47,47,78,0,47,47,63,94,62,94,93,16,187,32,63,47,94,94,78,63,62,16,78,47,32,94,156,328,62,47,63,141,31,3222,201,12,189,66,123,-51,174,-45,219,-18,237,-423,660,539,121,-54,175,-35,210,-7,217,2526,147.5298428978,47
1731.09675,0.1231746656,0.0008390942,-0.1118815302,0.0996569933,-0.8786540078,-385.3743374441,-0.1024589744,0.4922969231,0.0595085189,0.0003915696,-0.0730184809,9.3474142654,1885.76689,201.74209,14.054,48,35,0.4557041023,1226.2792655437,346.9800341194,289836053.701986,9.3474142654,14054,118,-13161,-893,-6971,-7067,0,8,14,0,328,141,219,47,62,47,63,63,141,281,0,31,109,78,15,47,78,47,78,63,0,32,1062,94,94,47,78,63,93,156,47,15,93,16,31,62,328,47,94,47,4719,386,242,144,-134,278,96,182,-19,201,-234,435,131,304,-749,1053,845,208,-31,239,-222,461,3891,254.4688943306,47
2305.43256,0.063500043,-0.0114194541,0,0.5,-1.1125248621,39.9736858408,-0.070659,-0.0682225,0.0521318957,-0.0049192362,-0.1851090638,4.3601201052,2308.25892,529.4026,36.306,66,65,0.4416813725,1128.6147934944,915.449501443,735182294.316716,4.3601201052,36306,188,-17691,-18615,-17082,-18901,0,7,0,16,109,109,109,94,94,78,78,78,94,94,94,312,78,94,93,94,78,78,63,63,125,62,94,94,93,78,78,94,78,63,78,62,78,78,78,125,63,63,31,62,3765,237,46,191,-2,193,-97,290,131,159,-38,197,-21,218,-158,376,125,251,-42,293,75,218,2623,61.560317797,48
2337.692355,0.116703727,-0.006164535,0.1488997839,0.0467553968,-1.035174889,100.0602787067,-0.120851,-0.05068,0.0520801161,-0.0030220354,-0.1110110728,7.5826305607,2349.29003,309.8252,20.031,49,35,0.4963641128,1145.2625540198,1052.2401410366,358723510.959692,7.5826305607,20031,154,-10441,-9590,-10310,-9704,0,6,0,17,78,141,16,78,62,110,94,78,16,62,47,188,78,94,78,94,79,187,78,62,94,78,125,94,78,47,78,47,78,62,63,204,46,79,78,47,78,78,63,78,3425,145,-75,220,-16,236,-1,237,-179,416,248,168,-257,425,49,376,208,168,-75,243,32,211,2845,100.2719030709,48
2422.775462,0.1313370988,-0.0097158833,0,0,0.1541868168,90.0294283766,0.13157195,-0.185175,0,0,-0.1458160876,7.6614880814,2423.750062,316.355,18.447,37,35,0.4455205427,1226.4726940191,1028.9976731529,326319732.72327,7.6614880814,18447,142,-10059,-8388,-8947,-9483,0,15,7,0,78,47,109,47,63,15,63,78,94,94,78,172,78,31,63,125,78,47,78,78,46,204,94,15,79,78,78,94,78,63,78,62,78,78,78,218,79,63,31,62,3281,124,-76,200,-75,275,-19,294,75,219,22,197,-29,226,99,127,-124,251,-42,293,92,201,2407,58.2817607521,48
1632.27173,0.0806617775,0.0130180965,-0.0016242053,0,-8.9228267579,-8.8867700233,-0.1253078571,-0.0139264286,0,0.0031076094,0.0628457335,6.1515077345,1721.83808,279.90505,20.236,50,44,0.3489681248,1095.5565782617,810.0256410654,169995997.524494,6.1515077345,20236,150,-11333,-8903,-8193,-12027,8,8,0,7,125,125,94,94,94,15,63,63,172,125,125,156,125,47,62,125,16,47,31,94,94,78,94,93,94,16,79,62,141,78,157,203,16,78,109,16,94,125,16,109,3737,618,551,67,-130,197,58,139,-36,175,-74,249,61,188,56,132,-26,158,41,117,26,91,2131,149.6790505776,49
1618.33487,0.095821829,0.0174791995,0.0129410558,-0.0341995632,-6.3971462881,0,-0.2333151515,-0.4370930303,0.0228756418,0.0035886483,0.2822647685,5.2994508454,1756.0467,331.3639,16.889,51,50,0.3847990465,1079.7369756897,765.9721925479,166746213.712899,5.2994508454,16889,160,-11903,-4986,-7341,-9531,0,7,7,0,47,94,125,62,16,110,47,109,16,78,156,109,125,62,78,110,47,31,109,109,78,94,93,94,94,94,78,93,94,94,62,79,62,47,109,32,78,78,47,124,3577,140,-21,161,54,107,-106,213,46,167,8,159,1,158,26,132,-39,171,-87,258,97,161,1827,40.2180420843,49
1701.46871,0.1124120448,0.0179711086,0.1959455248,0,-5.4423823656,-20.6648276336,0.012995,-0.37035,0,0.0077060673,0.0574291842,5.9164773074,1849.21924,312.5541,15.136,50,50,0.4336517396,1067.9503521053,804.6645821637,166814684.841878,5.9164773074,15136,146,-9593,-5543,-6757,-8362,7,7,0,17,109,125,78,78,31,94,15,63,172,125,156,547,172,15,79,93,78,47,125,78,109,79,0,78,47,16,79,62,141,78,157,203,16,78,124,16,78,125,16,109,4000,96,-29,125,-60,185,-112,297,118,179,-70,249,61,188,37,151,-7,158,41,117,-147,264,2009,63.9488431909,49
2189.6495,0.0852966188,0.0005125223,-0.1326927023,-0.0917019106,-1.3340631578,-786.2161057875,-0.0907396552,-0.020167931,0.0718329757,0.0003439516,-0.284368778,8.5862835486,2295.394364,267.3327,25.671,45,36,0.5362662239,1181.5725612528,857.5379317463,1021922540.19514,8.5862835486,25671,160,-15266,-10405,-12480,-13174,0,7,0,16,141,141,47,94,94,125,93,93,16,94,94,47,31,16,62,110,31,94,16,4,80,31,562,640,16,15,47,78,16,79,62,672,31,78,15,78,32,16,110,31,4273,203,113,90,-42,132,-34,166,13,153,77,76,-94,170,-36,206,111,95,-84,179,46,133,1603,44.6812956596,50
