@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-31,75-97'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
17,0,94,94,47,109,62,47,78,78,31,78,125,16,63,63,62,141,78,16,47,62,516,78,94,266,16,63,93,63,125,15,78,94,93,547,0,78,31,62,16,78,3891,79
16,0,0,172,93,78,0,16,78,62,110,250,844,938,31,16,46,94,109,32,78,94,78,94,1047,1203,78,78,78,63,125,47,63,109,32,93,78,63,187,93,78,63,7094,79
17,0,94,94,16,93,93,16,109,109,32,171,171,16,109,47,125,62,63,62,63,156,78,110,126,109,78,31,47,375,156,47,78,63,16,78,47,78,16,78,31,125,3624,80
8,0,94,47,141,16,63,47,47,94,93,47,110,31,109,375,78,78,94,109,47,93,16,125,140,94,78,63,78,78,78,47,125,16,109,0,62,16,62,94,15,94,3281,80
8,0,62,109,16,93,63,62,78,109,32,171,94,31,125,15,63,140,62,125,109,125,0,16,1176,94,94,31,47,375,156,47,78,63,16,78,94,62,78,78,31,125,4501,80
8,0,110,110,78,78,78,63,93,93,94,78,78,203,63,63,94,187,141,0,78,78,94,78,141,0,203,141,109,63,94,78,94,93,16,78,78,78,78,93,32,62,3703,81
0,7,78,93,125,63,94,62,63,78,31,63,0,0,94,63,62,125,94,63,78,93,94,94,94,125,31,234,328,110,110,93,78,94,93,32,78,32,62,94,31,78,3610,81
8,0,78,63,109,62,78,63,78,93,94,78,94,171,63,15,78,94,109,16,62,79,110,94,78,93,94,141,109,63,94,78,94,93,16,78,78,16,78,93,32,62,3280,81
0,8,125,125,47,63,63,0,93,93,32,187,187,0,78,93,47,125,63,31,78,78,94,94,562,110,78,16,94,78,94,78,47,63,15,78,20,88,78,109,16,93,3638,82
17,0,94,47,125,32,94,16,93,62,16,62,110,31,78,78,78,78,47,117,20,94,47,156,94,78,15,47,47,63,94,31,63,109,172,15,32,32,421,63,46,125,3279,82
17,0,32,125,32,78,78,16,93,93,32,187,109,47,63,16,94,94,63,15,78,94,47,109,719,94,47,16,94,78,94,78,47,63,15,78,125,15,125,109,16,93,3657,82
7,0,78,78,109,63,63,94,78,78,219,62,62,31,47,46,157,62,63,109,47,94,109,63,78,109,94,547,63,1015,79,125,62,63,203,62,62,188,46,47,47,78,4983,83
17,0,63,62,125,47,47,125,46,62,63,78,63,94,78,1015,78,125,79,125,62,63,109,63,125,94,78,31,828,62,93,110,93,188,62,485,47,172,63,63,62,63,5531,83
17,0,47,47,125,78,47,125,62,78,219,62,47,78,109,79,62,125,94,219,47,63,94,188,79,171,79,547,63,1015,79,125,62,63,203,62,63,125,78,47,47,78,5221,83
15,0,94,94,203,109,109,110,109,109,250,78,78,110,78,78,156,110,125,140,63,62,125,47,94,172,78,94,78,110,47,156,79,94,265,94,63,422,78,93,94,78,4923,84
8,0,94,79,62,78,78,110,78,78,219,93,94,78,78,110,93,610,62,328,63,109,141,109,156,94,141,93,94,63,78,109,79,156,94,140,93,547,94,110,125,93,5672,84
7,0,93,94,109,78,63,15,94,109,250,78,93,250,94,78,63,156,94,187,78,109,94,156,78,188,62,94,78,110,47,156,79,94,265,94,93,203,63,93,94,78,4811,84
17,0,93,93,125,47,47,47,63,63,93,156,156,31,63,63,469,62,78,125,78,141,47,172,78,63,141,78,56,73,78,31,125,79,15,110,78,78,47,62,31,63,3755,85
33,0,47,63,140,47,63,62,63,47,16,47,0,594,656,73,166,16,62,125,78,78,78,62,15,109,16,62,78,63,140,0,63,47,110,62,31,47,63,63,31,78,3739,85
17,0,31,47,94,63,78,32,62,63,93,156,0,16,94,62,141,15,94,31,63,78,703,47,844,891,62,78,56,73,78,31,125,79,15,110,78,172,78,62,31,63,5098,85
8,0,110,110,47,109,109,78,47,47,391,438,438,31,46,94,62,94,78,31,94,110,140,79,78,32,109,94,31,78,109,125,109,109,16,78,15,78,31,78,0,94,4172,86
637,0,109,93,63,110,78,47,94,78,141,78,0,32,46,78,94,78,31,78,15,63,109,47,46,125,110,63,62,78,125,31,62,687,94,78,32,110,31,78,31,94,3593,86
0,563,32,203,31,93,94,31,78,47,391,438,0,31,94,78,47,46,110,31,94,0,94,687,765,844,31,94,31,78,109,125,109,109,16,78,94,62,63,78,0,94,5717,86
7,0,110,110,46,125,125,79,93,93,485,594,594,47,140,94,47,93,78,141,62,125,109,63,140,16,125,47,78,78,47,62,109,125,16,93,0,125,62,78,32,93,4935,87
17,0,94,125,31,125,78,125,94,109,47,78,125,31,141,78,79,109,32,110,0,78,110,109,109,0,109,62,94,62,125,62,125,172,78,94,94,15,63,94,47,93,3515,87
770,0,94,188,47,63,62,31,94,93,485,594,234,16,109,94,94,109,125,78,94,109,94,172,985,1078,32,47,78,78,47,62,109,125,16,93,93,125,94,78,32,93,6516,87
369,0,93,93,110,47,47,78,31,31,125,63,63,171,79,63,109,172,62,32,78,78,78,78,63,156,78,63,47,93,78,78,47,78,172,78,63,78,63,46,79,78,3344,88
1458,0,93,94,94,47,78,47,63,79,46,47,47,31,94,93,63,125,78,15,63,78,63,109,109,63,125,62,78,63,78,94,63,125,62,47,63,125,31,62,63,78,3125,88
1935,0,63,78,78,63,78,47,62,31,125,63,46,47,94,94,47,109,62,16,62,62,79,125,62,141,78,63,47,93,78,78,47,78,172,78,78,62,32,46,79,78,2983,88
156,0,156,156,16,172,172,292,79,79,128,225,225,40,110,63,78,78,63,47,78,15,140,94,94,93,203,47,62,109,78,63,93,47,15,62,32,93,16,94,47,94,4488,89
8,0,109,109,47,109,109,0,63,78,47,62,609,734,0,109,63,172,79,93,32,109,47,125,62,94,78,78,78,78,79,78,172,110,94,78,78,0,63,15,62,47,4343,89
475,0,78,15,63,47,78,297,78,79,128,225,0,47,141,93,32,62,94,31,172,47,109,110,812,78,79,47,62,109,78,63,93,47,15,62,47,78,47,94,47,94,4134,89
495,0,63,63,93,63,63,16,93,93,63,140,140,188,109,31,141,62,63,578,94,78,125,62,63,109,78,47,94,141,78,94,188,47,78,62,47,109,47,93,63,62,3999,90
0,17,125,79,93,63,94,78,31,79,62,78,125,207,109,141,62,156,94,78,47,94,94,62,94,63,93,47,78,63,78,125,62,93,110,78,47,438,62,94,31,94,3941,90
5747,0,47,63,109,63,94,62,78,93,63,140,47,687,94,78,62,94,125,453,78,63,766,93,63,125,94,47,94,141,78,94,188,47,78,62,94,47,62,93,63,62,5077,90
1022,0,94,94,78,78,78,52,40,40,271,380,380,47,125,79,15,62,47,16,62,94,94,62,62,78,172,47,62,63,125,32,0,47,15,78,32,94,31,62,16,78,3507,91
541,0,78,31,110,0,78,31,79,78,32,78,0,47,125,63,157,15,62,31,32,78,94,78,94,31,125,63,62,63,312,63,94,62,94,141,62,32,62,78,31,79,3018,91
202,0,62,141,125,78,62,16,94,40,271,380,125,140,94,63,0,94,62,0,32,76,922,62,813,891,62,47,62,63,125,32,0,47,15,78,79,31,156,62,16,78,5659,91
15,0,94,94,109,78,78,563,78,78,140,79,79,250,93,62,125,63,47,141,62,62,125,63,63,156,47,125,47,63,63,93,63,63,125,62,63,125,62,62,110,78,4205,92
17,0,78,94,109,63,63,109,62,63,94,62,94,125,125,63,62,172,78,78,63,78,125,62,125,47,156,62,78,63,78,110,62,110,62,78,78,63,46,63,47,78,3438,92
7,0,78,94,125,47,62,78,47,78,140,79,78,172,125,62,63,125,63,125,83,47,78,110,63,187,78,125,47,63,63,93,63,63,125,62,78,78,47,62,110,78,3585,92
0,0,125,125,94,78,78,31,109,109,31,172,172,31,156,110,46,125,94,16,93,109,109,63,172,47,187,0,93,453,140,47,63,32,46,79,31,94,78,78,32,78,3983,93
8,0,125,47,172,16,109,0,110,125,15,78,110,125,156,453,94,47,31,63,31,94,125,62,15,141,0,93,110,78,829,31,93,109,78,110,62,47,94,157,31,109,4546,93
473,0,62,78,109,110,93,32,78,109,31,172,172,93,157,31,78,15,94,78,94,94,141,109,719,875,31,0,93,453,140,47,63,32,46,79,109,0,110,78,32,78,5156,93
3181,0,110,110,62,78,78,16,63,63,78,62,62,94,94,62,47,94,78,31,94,93,94,31,47,547,93,32,62,110,78,94,63,141,0,78,31,79,46,78,62,63,3438,94
8,0,78,0,156,16,47,31,62,78,61,52,78,94,188,110,62,141,63,62,31,47,297,78,31,110,0,78,78,63,62,110,62,141,94,15,31,31,94,78,47,78,3129,94
760,0,31,93,110,94,94,62,47,63,78,62,79,78,78,16,94,31,94,47,78,109,62,141,895,62,63,32,62,110,78,94,63,141,0,78,78,47,78,78,62,63,3866,94
0,6806,109,109,79,78,78,109,125,125,63,109,109,47,125,78,109,94,94,0,94,94,78,110,109,47,125,63,78,109,78,93,203,94,47,78,47,78,63,79,31,78,3750,95
0,6806,78,156,15,78,78,63,78,94,31,110,78,78,187,109,79,46,16,62,47,109,78,94,63,93,125,78,78,78,109,110,62,94,94,62,78,78,94,78,31,94,3373,95
0,6806,78,94,78,94,94,15,94,125,63,109,93,78,110,78,78,63,94,31,78,94,93,94,843,984,16,63,78,109,78,93,203,94,47,78,94,31,141,79,31,78,5093,95
519,0,94,94,109,78,78,63,93,93,188,78,78,31,94,94,62,156,110,31,78,109,31,125,78,110,250,78,63,62,78,110,78,93,125,110,125,125,125,78,32,125,3953,96
98,0,62,140,63,78,109,31,94,78,0,78,0,31,109,62,94,313,156,31,125,78,141,125,78,156,16,78,47,63,62,94,62,125,94,235,125,0,94,62,235,125,3921,96
17,0,125,78,110,78,78,47,109,93,188,78,0,0,94,0,62,78,156,16,94,78,78,125,203,62,156,78,63,62,78,110,78,93,125,110,125,31,109,78,32,125,3623,96
0,16,109,109,15,125,125,0,47,47,109,203,203,47,62,31,78,47,31,63,31,47,297,31,93,0,125,16,62,94,157,31,62,31,31,47,156,110,62,78,16,62,3231,97
0,16,16,32,62,63,31,109,31,344,94,0,1469,140,31,94,78,63,0,62,156,125,32,31,47,32,141,78,78,78,0,47,63,78,156,16,31,125,15,63,31,94,4361,97
16,0,31,47,47,62,31,78,62,47,109,203,141,15,125,125,0,47,125,719,109,78,0,78,859,110,0,16,62,94,157,31,62,31,31,47,94,0,62,78,16,62,4186,97
17,0,110,110,250,94,94,62,78,78,203,78,78,249,88,78,282,109,78,344,407,78,94,78,94,531,94,234,79,93,94,140,79,78,47,109,78,391,109,78,109,94,5854,98
7,0,93,94,93,94,109,94,78,62,157,78,62,204,78,93,63,172,78,172,78,109,125,78,157,78,156,281,63,93,94,172,78,213,94,110,78,516,78,94,125,93,5009,98
16,0,78,109,110,78,407,15,78,78,203,78,1109,63,250,32,93,157,94,203,78,78,88,213,63,250,78,234,79,93,94,140,79,78,47,109,93,235,78,78,109,94,5833,98
0,17,47,47,62,140,140,32,78,78,79,110,110,15,110,31,47,15,78,16,110,94,62,78,469,578,16,63,78,79,63,47,15,63,31,63,48,5,84,46,109,78,3717,99
0,3888,31,31,79,46,93,32,31,15,94,31,141,0,94,79,188,31,16,78,48,46,32,93,47,140,16,31,78,63,16,78,62,31,109,31,16,94,0,16,109,16,2360,99
0,17,16,235,328,32,110,15,16,78,79,110,438,125,31,93,32,47,625,32,79,93,0,31,0,62,16,63,78,79,63,47,15,63,31,63,16,110,15,46,109,78,3677,99
17,0,125,125,47,110,110,93,94,94,31,79,79,31,140,47,109,94,78,16,46,110,78,78,172,78,94,31,62,79,125,62,109,110,15,94,31,78,16,94,16,78,3298,100
17,0,62,125,62,125,62,47,47,78,32,78,98,59,124,79,62,125,62,94,31,94,62,94,62,94,78,63,78,93,79,93,140,78,78,0,62,32,93,93,32,62,3122,100
17,0,62,31,156,344,46,110,62,94,31,79,94,31,125,62,16,62,78,16,94,78,78,78,609,94,62,31,62,79,125,62,109,110,15,94,62,32,78,94,16,78,3749,100
0,8,125,125,109,109,109,32,187,187,109,157,157,156,94,109,203,125,110,94,93,218,16,111,125,110,203,94,109,63,94,203,63,47,157,171,110,93,161,141,15,94,4960,101
7,0,109,156,16,94,94,125,109,78,141,47,172,0,172,63,93,500,125,125,110,297,47,109,125,156,157,93,110,62,16,141,62,47,172,78,531,140,516,125,63,93,5704,101
112,0,531,312,16,125,93,63,125,187,109,157,94,156,110,94,78,125,141,140,78,110,0,47,750,125,125,94,109,63,94,203,63,47,157,171,93,110,109,141,15,94,5814,101
112,0,78,78,125,79,79,46,79,79,15,140,140,47,90,78,62,94,109,0,62,110,93,47,94,46,140,47,63,78,94,94,47,78,0,78,16,78,0,94,16,78,2996,102
0,17,63,16,62,94,62,579,78,78,32,94,0,16,93,78,172,31,31,140,16,78,63,78,31,125,0,63,78,78,78,94,78,94,78,31,78,15,79,62,16,94,3220,102
17,0,78,78,94,63,62,32,78,79,15,140,0,63,125,0,63,31,62,31,78,109,78,94,781,94,31,47,63,78,94,94,47,78,0,78,94,15,110,94,16,78,3423,102
766,0,63,63,219,46,46,188,47,47,62,78,78,125,79,47,156,63,62,16,62,156,156,94,62,157,78,94,62,156,63,109,62,110,234,31,47,78,110,62,31,47,3952,103
232,0,78,125,47,47,47,94,47,93,47,63,125,62,141,156,47,141,110,62,47,78,125,63,156,63,125,32,125,47,62,125,63,140,63,94,16,78,47,47,47,62,3300,103
277,0,16,63,203,16,62,94,47,47,62,78,79,46,110,78,47,156,62,16,62,47,63,140,922,62,110,94,62,156,63,109,62,110,234,31,62,47,63,62,31,47,4171,103
15,0,141,141,31,109,109,47,94,94,62,172,172,15,100,78,62,125,94,46,63,94,109,78,94,16,93,78,47,62,141,62,125,110,109,94,16,93,32,94,47,62,3582,104
16,0,110,172,16,78,94,31,78,93,32,78,94,46,110,62,141,62,16,141,16,94,109,63,78,62,94,47,94,46,109,31,110,110,78,47,16,78,47,78,62,79,3159,104
17,0,16,250,31,94,63,78,94,94,62,172,78,94,125,141,0,78,79,15,94,516,94,110,828,968,16,78,47,62,141,62,125,110,109,94,79,46,94,94,47,62,5580,104
17,0,78,78,94,62,62,63,62,62,63,78,78,62,79,62,94,78,63,78,62,78,94,62,62,63,124,109,62,94,78,93,63,63,78,62,47,31,78,63,47,62,3012,105
33,0,79,47,109,63,62,63,62,63,78,63,63,125,62,94,188,15,78,125,47,63,125,62,94,157,62,62,78,63,78,94,63,79,93,78,78,47,62,78,62,63,3267,105
7,0,78,47,109,63,62,47,78,62,63,78,47,125,63,0,93,94,62,78,63,78,843,79,62,63,78,109,62,94,78,93,63,63,78,62,63,31,125,63,47,62,3780,105
7,0,125,125,94,94,94,93,94,94,125,125,125,78,125,94,109,141,109,63,93,78,157,93,94,109,125,94,62,94,125,94,78,109,110,93,94,47,109,109,62,79,4233,106
0,345,125,125,125,94,94,78,94,94,47,109,109,32,171,94,94,140,110,140,94,109,125,94,94,125,16,47,93,78,156,47,110,187,94,453,94,31,125,109,94,94,4563,106
16,0,94,156,31,78,93,63,109,94,125,125,125,47,141,47,140,94,125,110,78,110,94,187,125,94,110,94,62,94,125,94,78,109,110,93,94,78,141,109,62,79,4142,106
17,0,63,63,47,31,31,16,78,78,47,125,125,47,47,110,62,47,93,16,78,78,16,78,594,78,94,15,78,78,47,63,109,16,110,62,16,47,94,78,0,31,3142,107
17,0,78,31,78,78,78,16,110,16,93,32,484,500,47,78,94,0,609,47,16,16,63,31,110,31,93,31,63,78,31,62,79,78,109,62,0,94,16,16,94,16,3721,107
0,17,0,32,78,47,78,0,110,78,47,125,0,47,62,78,31,110,31,78,94,78,0,78,0,547,609,15,78,78,47,63,109,16,110,62,16,93,78,78,0,31,3562,107
0,7,109,109,703,78,78,94,62,62,157,78,78,172,62,63,93,94,79,78,93,94,109,63,125,141,266,141,62,79,79,78,78,78,63,93,94,15,94,62,31,79,4392,108
17,0,93,78,110,62,78,141,63,93,0,94,109,157,78,79,78,93,125,141,94,110,93,94,15,125,47,94,78,78,78,110,78,141,78,94,78,47,78,78,94,94,3658,108
17,0,78,93,125,63,93,79,78,62,157,78,47,156,94,62,172,15,140,63,78,79,78,141,0,32,125,141,62,79,79,78,78,78,63,93,94,156,94,62,31,79,3643,108
0,2056,109,109,78,63,63,62,78,78,125,94,94,219,98,78,94,109,78,109,63,94,109,78,78,94,110,93,63,78,78,110,46,94,46,63,63,94,78,110,62,94,3677,109
308,0,62,78,109,47,62,47,78,94,31,78,94,187,78,78,62,125,110,15,63,94,125,78,63,78,109,78,109,47,94,93,78,125,63,109,63,16,93,78,109,63,3404,109
322,0,63,109,110,62,63,15,94,78,125,94,110,234,78,15,109,63,93,0,63,94,78,125,93,125,110,93,63,78,78,110,46,94,46,63,63,31,94,110,62,94,3484,109
7,0,62,62,141,63,63,93,63,63,94,78,78,187,63,63,140,94,63,62,47,63,109,63,93,47,110,156,63,109,78,94,63,78,188,78,78,78,78,47,78,63,3596,110
7,0,63,78,125,62,78,78,63,62,63,62,63,62,78,109,63,172,62,94,78,78,125,63,110,78,109,63,78,78,63,109,78,156,62,125,63,78,62,63,62,47,3406,110
16,0,63,78,125,47,47,109,63,63,94,78,63,140,47,63,62,110,63,47,78,62,78,156,110,94,62,156,63,109,78,94,63,78,188,78,47,47,94,47,78,63,3410,110
2027,0,110,110,93,171,171,16,94,94,47,156,156,32,140,172,15,94,94,31,109,141,93,125,110,47,203,15,141,94,250,31,125,125,16,114,78,109,16,125,0,109,4112,111
330,0,109,0,140,63,110,47,172,125,0,63,110,78,187,94,109,47,62,109,78,94,94,78,0,140,16,62,110,93,125,93,94,110,93,110,62,140,16,78,0,125,3546,111
8,0,62,312,63,125,109,32,78,94,47,156,125,79,140,16,125,0,141,15,94,94,109,110,860,125,62,15,141,94,250,31,125,125,16,114,125,0,109,125,0,109,4802,111
1466,0,157,157,62,125,125,46,156,156,0,78,78,78,180,78,109,94,63,16,78,266,47,62,0,16,141,78,94,62,31,109,47,46,93,0,31,94,47,78,31,63,3397,112
321,0,94,110,47,94,125,110,78,15,78,47,141,47,187,62,94,219,62,47,31,156,63,70,110,20,165,94,62,63,15,125,46,1390,63,141,16,94,94,93,0,63,4740,112
244,0,16,16,94,0,78,15,94,156,0,78,0,15,172,94,15,110,125,94,94,31,1312,1390,984,1094,62,78,94,62,31,109,47,46,93,0,63,31,156,78,31,63,7215,112
0,17,78,78,94,78,78,31,78,78,16,141,141,62,125,78,79,78,78,63,78,140,47,63,109,32,157,47,47,63,62,140,63,109,78,16,0,110,15,110,62,156,3298,113
0,33,94,32,109,16,125,16,78,78,78,63,0,15,125,63,62,110,78,78,0,172,47,63,47,93,79,78,109,63,78,93,32,31,109,187,94,15,94,94,31,78,3000,113
0,17,94,79,93,110,78,31,94,78,16,141,187,0,94,94,0,47,140,63,62,78,0,31,937,94,78,47,47,63,62,140,63,109,78,16,78,141,78,110,62,156,4078,113
0,17,94,94,141,109,109,203,297,297,16,203,203,15,137,78,63,172,125,16,94,78,109,94,94,188,125,157,62,125,94,78,109,141,94,78,94,109,125,109,31,110,4810,114
0,8,78,219,0,125,94,31,78,93,32,78,156,16,137,125,78,94,109,0,94,94,94,125,16,141,46,110,93,79,109,63,141,375,78,109,15,78,0,78,15,78,3762,114
7,0,15,63,219,62,94,16,125,297,16,203,0,47,140,32,125,16,47,16,172,78,94,375,110,78,109,157,62,125,94,78,109,141,94,78,78,15,141,109,31,110,4143,114
0,17,125,125,94,109,109,141,110,110,109,203,203,78,109,78,390,500,125,47,110,110,93,78,94,343,468,156,78,125,109,63,78,109,110,93,78,94,78,94,47,78,5623,115
0,33,156,141,16,93,109,485,78,125,47,62,0,15,109,125,63,609,46,109,78,110,94,78,141,266,15,79,62,94,78,110,109,94,94,172,79,78,78,78,31,94,5015,115
8,0,79,94,109,63,110,78,93,110,109,203,0,47,125,78,78,141,141,31,110,78,109,94,1020,1114,46,156,78,125,109,63,78,109,110,93,94,484,203,94,47,78,6649,115
0,7,109,109,78,94,94,94,78,78,62,109,109,31,125,63,125,78,94,141,31,110,125,109,94,93,94,63,78,94,141,0,62,15,93,32,31,78,63,78,32,93,3421,116
0,8,93,0,109,16,94,109,63,47,78,31,110,31,125,94,78,109,78,78,31,156,15,111,120,94,62,94,94,46,63,172,16,0,125,500,78,78,94,63,93,78,3729,116
16,0,78,97,46,94,31,78,156,78,62,109,0,0,94,0,187,120,78,47,109,63,109,0,735,78,78,63,78,94,141,0,62,15,93,32,78,94,78,78,32,93,3667,116
8,0,78,78,63,141,141,47,109,109,31,78,78,32,31,47,62,78,15,47,31,78,78,32,687,125,16,94,16,62,47,125,47,62,47,63,31,78,0,0,78,16,3281,117
314,0,32,15,125,47,47,63,47,31,156,16,531,625,31,62,79,172,47,79,31,31,47,63,0,78,32,31,94,62,94,0,62,47,109,31,32,78,31,31,62,0,3485,117
29,0,32,62,47,62,31,63,47,109,31,78,671,193,31,15,109,0,78,32,93,16,0,47,797,937,47,94,16,62,47,125,47,62,47,63,0,79,78,0,78,16,4676,117
7312,0,109,109,63,141,141,15,110,110,31,125,125,31,125,125,31,47,63,125,203,203,32,93,610,109,125,125,47,93,47,141,31,31,16,63,46,109,16,15,93,47,4046,118
17,0,109,62,547,125,94,15,125,16,110,94,0,0,125,93,63,78,0,16,46,16,47,62,125,203,47,47,93,79,0,93,47,1000,78,156,0,94,15,0,63,93,4154,118
17,0,0,15,63,47,203,16,16,110,31,125,657,720,15,63,47,125,250,78,453,94,78,1000,656,781,0,125,47,93,47,141,31,31,16,63,93,63,219,15,93,47,6861,118
94,62,62,62,125,63,63,31,63,63,172,78,78,31,78,62,141,78,78,79,62,63,203,47,109,125,78,40,60,106,47,125,63,63,94,62,63,94,62,78,79,62,3348,119
78,47,62,47,125,46,63,297,62,79,62,63,78,250,47,106,67,91,94,93,63,78,125,47,115,76,62,47,78,31,78,109,63,101,176,13,63,78,62,62,141,62,3587,119
63,62,63,62,126,46,62,47,94,63,172,78,62,188,78,27,86,115,78,140,63,74,67,101,62,63,94,40,60,106,47,125,63,63,94,62,62,141,235,78,79,62,3553,119
