@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-31,75-97'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
8,0,78,156,78,125,63,62,32,47,47,78,0,47,47,63,94,62,94,93,16,187,32,63,47,94,94,78,63,62,16,78,47,32,94,156,328,62,47,63,141,31,3222,47
14,0,328,141,219,47,62,47,63,63,141,281,0,31,109,78,15,47,78,47,78,63,0,32,1062,94,94,47,78,63,93,156,47,15,93,16,31,62,328,47,94,47,4719,47
0,16,109,109,109,94,94,78,78,78,94,94,94,312,78,94,93,94,78,78,63,63,125,62,94,94,93,78,78,94,78,63,78,62,78,78,78,125,63,63,31,62,3765,48
0,17,78,141,16,78,62,110,94,78,16,62,47,188,78,94,78,94,79,187,78,62,94,78,125,94,78,47,78,47,78,62,63,204,46,79,78,47,78,78,63,78,3425,48
7,0,78,47,109,47,63,15,63,78,94,94,78,172,78,31,63,125,78,47,78,78,46,204,94,15,79,78,78,94,78,63,78,62,78,78,78,218,79,63,31,62,3281,48
0,7,125,125,94,94,94,15,63,63,172,125,125,156,125,47,62,125,16,47,31,94,94,78,94,93,94,16,79,62,141,78,157,203,16,78,109,16,94,125,16,109,3737,49
7,0,47,94,125,62,16,110,47,109,16,78,156,109,125,62,78,110,47,31,109,109,78,94,93,94,94,94,78,93,94,94,62,79,62,47,109,32,78,78,47,124,3577,49
0,17,109,125,78,78,31,94,15,63,172,125,156,547,172,15,79,93,78,47,125,78,109,79,0,78,47,16,79,62,141,78,157,203,16,78,124,16,78,125,16,109,4000,49
0,16,141,141,47,94,94,125,93,93,16,94,94,47,31,16,62,110,31,94,16,4,80,31,562,640,16,15,47,78,16,79,62,672,31,78,15,78,32,16,110,31,4273,50
17,0,15,47,125,94,63,141,16,110,78,94,532,625,32,78,141,47,62,141,15,172,16,31,47,109,141,62,63,62,78,32,141,671,47,125,15,125,15,78,16,78,4784,50
0,17,15,47,141,15,16,78,31,93,16,94,563,656,32,156,31,47,31,78,16,72,593,671,703,734,62,15,47,78,16,79,62,672,31,78,78,31,109,16,110,31,6569,50
6,0,125,125,31,94,94,47,62,62,16,125,125,32,16,110,31,62,78,16,62,78,78,78,0,31,94,15,47,78,94,31,47,93,16,94,16,63,31,94,15,78,2609,51
0,16,78,78,16,78,62,78,110,78,32,62,0,16,47,78,140,32,31,47,16,63,78,78,62,32,62,46,63,47,94,16,109,78,109,94,391,78,15,62,32,62,2828,51
17,0,391,109,172,31,62,32,62,62,16,125,93,16,78,62,16,62,94,31,93,77,703,78,1312,1375,31,15,47,78,94,31,47,93,16,94,62,16,62,94,15,78,6135,51
0,17,110,110,109,109,109,16,78,78,63,78,78,94,78,78,94,110,78,16,62,109,79,93,94,94,109,31,63,93,94,78,109,94,31,109,94,78,78,78,16,94,3422,52
4378,0,78,109,78,47,93,47,78,109,31,78,156,141,266,93,63,109,109,16,94,93,78,110,110,62,94,62,78,79,75,86,93,78,93,47,62,47,78,93,16,109,3563,52
1667,0,62,78,94,78,62,31,94,78,63,78,94,78,109,47,93,110,109,16,62,110,110,78,78,172,109,31,63,93,94,78,109,94,31,109,109,63,78,78,16,94,3358,52
385,0,157,157,171,63,63,16,62,62,62,156,156,32,78,109,16,94,78,204,78,140,16,78,125,109,31,219,78,78,31,141,62,15,94,484,62,47,78,78,32,93,4014,53
17,0,94,187,31,78,79,15,109,250,63,31,0,15,79,78,78,157,63,31,62,31,141,31,16,78,94,78,47,78,15,94,109,125,78,62,93,32,78,31,78,47,3061,53
1168,0,93,62,94,94,78,93,79,62,62,156,0,47,141,19,113,16,62,32,78,78,63,125,62,78,63,219,78,78,31,141,62,15,94,484,47,63,31,78,32,93,3506,53
443,0,63,63,125,47,47,31,16,16,63,78,78,156,31,47,31,78,62,63,78,78,94,62,94,63,125,47,47,93,172,15,63,78,16,125,110,125,93,63,15,79,2970,54
510,0,110,141,15,94,94,31,47,110,15,79,0,16,78,93,79,15,110,15,110,62,110,47,94,31,109,78,79,78,78,15,78,93,94,16,32,63,47,47,31,94,2738,54
164,0,32,203,31,78,78,15,63,16,63,78,125,16,125,94,16,94,78,16,78,78,94,93,0,31,110,47,47,93,172,15,63,78,16,125,94,63,93,63,15,79,2846,54
7,0,125,125,500,94,94,78,78,78,156,235,235,31,94,62,188,250,78,47,63,78,157,125,78,94,94,156,94,110,156,47,125,109,125,62,63,47,265,62,16,94,5096,55
16,0,125,156,15,94,94,63,62,78,15,78,94,125,109,110,62,141,16,109,63,62,47,125,43,173,267,79,78,62,203,31,109,31,141,343,156,32,93,62,32,93,4137,55
17,0,156,63,141,46,63,15,94,78,156,235,0,46,109,62,85,43,78,110,93,78,0,31,1063,1172,16,156,94,110,156,47,125,109,125,62,93,32,78,62,16,94,5517,55
0,17,94,94,110,78,78,15,63,63,62,94,94,141,78,78,32,110,62,16,94,78,157,78,78,109,156,31,94,62,78,47,78,109,156,110,32,79,78,94,31,78,3534,56
8,0,78,93,79,78,78,31,78,47,47,62,94,109,79,62,63,62,203,265,32,62,78,78,16,94,94,47,110,62,156,63,125,78,94,156,62,78,78,125,16,94,3531,56
7,0,62,78,63,93,94,15,63,63,62,94,78,94,63,16,109,16,32,15,93,110,719,78,812,63,203,31,94,62,78,47,78,109,156,110,94,31,63,94,31,78,4454,56
0,17,109,109,79,94,94,32,93,93,32,110,110,62,62,32,62,63,78,16,63,79,157,62,562,94,16,656,47,63,32,78,79,766,782,15,47,125,16,15,62,47,5333,57
0,7,78,16,93,32,93,16,32,78,15,62,640,703,63,63,62,141,47,94,47,16,15,62,16,31,62,78,63,141,110,15,93,832,62,32,15,78,15,15,62,31,4297,57
0,16,15,46,63,94,63,31,78,93,32,110,0,15,125,110,31,16,703,16,47,62,738,832,719,812,47,656,47,63,32,78,79,766,782,15,31,109,16,15,62,47,7947,57
17,0,110,110,78,109,109,297,109,109,79,109,109,31,78,63,125,78,47,234,78,110,156,62,0,16,94,141,62,109,140,16,62,109,203,63,32,78,109,63,16,62,3921,58
7,0,78,94,47,94,93,203,63,125,63,62,0,31,141,109,47,203,94,109,32,78,187,63,62,203,110,78,78,63,109,16,78,125,63,94,78,265,110,78,16,78,3845,58
8,0,78,328,31,125,78,172,62,109,79,109,0,16,94,93,251,62,125,109,109,63,78,125,813,156,94,141,62,109,140,16,62,109,203,63,78,219,78,63,16,62,4874,58
17,0,78,78,94,62,62,94,94,94,156,250,250,31,141,47,125,94,109,62,94,109,78,141,93,157,235,156,63,62,94,62,94,109,47,78,156,63,109,93,47,110,4562,59
17,0,78,219,31,110,63,62,47,47,47,62,0,32,141,62,94,16,47,125,156,78,125,110,172,219,47,63,62,63,79,78,62,94,62,266,16,78,31,110,31,78,3488,59
8,0,16,218,63,31,94,47,125,94,156,250,62,94,94,32,46,172,63,15,62,109,78,94,953,1047,47,156,63,62,94,62,94,109,47,78,78,110,172,93,47,110,5671,59
0,17,93,93,79,78,78,62,63,63,15,78,78,94,78,78,109,94,63,94,78,94,78,47,703,109,78,31,79,62,63,93,63,78,0,94,15,94,469,110,15,78,4015,60
0,17,94,93,156,62,204,15,78,110,15,93,47,125,219,62,47,94,79,78,15,15,63,78,94,63,46,63,78,62,63,94,62,78,93,32,78,156,78,94,31,78,3294,60
0,7,78,78,125,47,78,594,78,63,15,78,94,125,234,15,62,94,141,15,62,78,78,78,859,78,79,31,79,62,63,93,63,78,0,94,78,32,109,110,15,78,4452,60
17,0,94,94,94,78,78,140,94,94,78,125,125,94,78,78,141,250,125,109,172,94,140,110,906,94,891,94,156,78,94,94,203,94,78,78,94,63,109,78,78,78,5954,61
458,0,125,172,15,110,110,109,78,93,16,78,0,62,93,78,78,94,141,93,94,47,93,110,93,266,63,172,62,79,265,78,110,156,109,16,94,703,62,109,813,125,5530,61
390,0,94,93,110,93,172,15,78,94,78,125,891,93,172,94,141,93,94,78,78,156,78,156,1078,78,141,94,156,78,94,94,203,94,78,78,125,31,110,78,78,78,5998,61
278,0,78,78,110,78,78,109,94,94,0,94,94,109,94,62,157,93,78,15,79,94,94,93,94,109,234,109,62,94,94,125,78,78,594,125,78,47,78,93,47,78,4670,62
8,0,78,125,16,78,109,16,62,110,78,78,94,78,94,94,78,94,78,31,78,62,94,94,47,109,32,63,78,109,94,78,78,109,78,63,78,31,78,78,47,94,3172,62
413,0,78,94,94,94,79,31,93,94,0,94,94,78,94,31,94,47,47,31,78,78,110,109,62,94,78,109,62,94,94,125,78,78,594,125,94,172,94,93,47,78,4016,62
