@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-74

@attribute ME numeric
@attribute DIF1 numeric
@attribute ER numeric
@attribute DIF2 numeric
@attribute RI numeric
@attribute DIF3 numeric
@attribute CA numeric
@attribute DIF4 numeric
@attribute SE numeric
@attribute DIF5 numeric
@attribute IC numeric
@attribute DIF6 numeric
@attribute NO numeric
@attribute DIF7 numeric
@attribute RR numeric
@attribute DIF8 numeric
@attribute DE numeric
@attribute DIF9 numeric
@attribute EL numeric
@attribute DIF10 numeric
@attribute IR numeric
@attribute TOT numeric
@attribute STD numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
117,-66,183,14,169,49,120,-97,217,-126,343,181,162,6,156,34,122,-136,258,-101,359,2206,85.663719,59
285,96,189,20,169,-394,563,429,134,-60,194,-46,240,108,132,-24,156,-287,443,376,67,2572,147.236421,60
108,-60,168,44,124,-131,255,111,144,-97,241,86,155,23,132,18,114,-39,153,-28,181,1775,48.270639,60
91,-81,172,12,160,-97,257,95,162,-32,194,21,173,66,107,-49,156,-287,443,359,84,1999,99.569163,60
235,35,200,-45,245,105,140,-46,186,-29,215,-82,297,114,183,-7,190,-89,279,31,248,2418,46.145028,61
175,24,151,-65,216,-65,281,95,186,23,163,-96,259,76,183,20,163,-10,173,-52,225,2175,42.242374,61
241,31,210,56,154,-141,295,64,231,16,215,14,201,39,162,-28,190,-89,279,-501,780,2958,174.945966,61
140,-46,186,32,154,-19,173,4,169,55,114,-624,738,569,169,12,157,-610,767,667,100,2867,244.601011,62
138,49,89,5,84,-122,206,41,165,-143,308,184,124,-45,169,-13,182,-378,560,433,127,2152,135.766913,62
148,-21,169,32,137,-96,233,69,164,50,114,-56,170,-11,181,24,157,-610,767,676,91,2331,187.705863,62
940,533,407,-15,422,284,138,-57,195,-224,419,69,350,161,189,11,178,-266,444,-759,1203,4885,335.384691,63
681,473,208,-152,360,243,117,-5,122,-149,271,17,254,65,189,117,72,-510,582,-30,612,3468,215.397814,63
349,193,156,-149,305,199,106,-137,243,-176,419,48,371,236,135,-43,178,-266,444,-142,586,3292,150.958333,63
542,281,261,-25,286,0,286,12,274,-101,375,208,167,13,154,-49,203,-173,376,178,198,3122,113.354151,64
232,110,122,-105,227,50,177,-97,274,-17,291,114,177,23,154,-220,374,60,314,8,306,2648,78.121816,64
198,61,137,-64,201,2,199,-336,535,160,375,139,236,48,188,-15,203,-173,376,183,193,2841,119.141169,64
206,3,203,74,129,-154,283,164,119,-286,405,181,224,51,173,85,88,-51,139,9,130,2099,90.611057,65
771,610,161,45,116,-53,169,-24,193,38,155,-23,178,5,173,60,113,-19,132,-91,223,2384,186.684274,65
121,48,73,-81,154,-51,205,97,108,-297,405,-93,498,327,171,83,88,-51,139,-130,269,2231,136.229085,65
340,43,297,-208,505,375,130,22,108,-791,899,588,311,-16,327,-175,502,211,291,-129,420,4130,214.87362,66
183,62,121,-34,155,-331,486,324,162,-137,299,172,127,-200,327,188,139,-139,278,8,270,2547,112.611157,66
308,194,114,-632,746,489,257,-100,357,-542,899,700,199,40,159,-343,502,211,291,-76,367,4199,244.838351,66
235,-389,624,437,187,-349,536,359,177,32,145,-76,221,52,169,6,163,-257,420,271,149,3026,170.10788,67
165,-4,169,60,109,-136,245,74,171,-103,274,106,168,-1,169,31,138,-360,498,35,463,2569,130.473264,67
413,244,169,-23,192,31,161,-16,177,32,145,-5,150,50,100,-63,163,-257,420,98,322,2412,111.59578,67
337,145,192,118,74,-14,88,14,74,-625,699,616,83,-70,153,-12,165,-35,200,83,117,2182,183.333725,68
142,-12,154,22,132,24,108,-45,153,-988,1141,1076,65,-88,153,39,114,-192,306,231,75,2543,308.261843,68
71,-69,140,-359,499,343,156,-19,175,-524,699,220,479,349,130,-35,165,-35,200,41,159,2873,201.413911,68
253,-1,254,90,164,-247,411,224,187,-21,208,-82,290,167,123,-65,188,64,124,8,116,2318,88.042139,69
134,-93,227,35,192,-129,321,132,189,-42,231,-1,232,109,123,-55,178,-39,217,-12,229,2273,53.809428,69
148,-49,197,89,108,-39,147,-172,319,111,208,85,123,-640,763,575,188,64,124,-81,205,2530,186.320691,69
328,-331,659,469,190,-1013,1203,991,212,8,204,12,192,15,177,2,175,-269,444,359,85,3869,324.66601,70
100,-651,751,533,218,-30,248,129,119,23,96,-64,160,-17,177,-36,213,-1,214,23,191,2487,181.298899,70
109,-38,147,-206,353,205,148,-19,167,-37,204,-29,233,84,149,-26,175,-269,444,335,109,2238,105.027962,70
261,57,204,-173,377,257,120,-41,161,15,146,-82,228,76,152,-6,158,-177,335,196,139,2281,84.914395,71
99,2,97,-481,578,405,173,3,170,-16,186,-56,242,90,152,-25,177,-246,423,46,377,2674,151.904216,71
335,282,53,-143,196,-10,206,34,172,26,146,-11,157,43,114,-44,158,-177,335,112,223,2095,85.056879,71
216,22,194,20,174,-73,247,86,161,21,140,-267,407,251,156,2,154,-607,761,582,179,2789,184.071379,72
452,245,207,-3,210,-203,413,258,155,24,131,-505,636,480,156,-32,188,-63,251,78,173,2972,160.35387,72
101,-30,131,-85,216,-73,289,95,194,54,140,-271,411,132,279,125,154,-607,761,636,125,2801,191.510455,72
285,-142,427,78,349,141,208,62,146,11,135,-457,592,185,407,289,118,-83,201,46,155,3023,152.265438,73
129,2,127,-135,262,-59,321,161,160,-206,366,173,193,-214,407,310,97,-216,313,153,160,2535,107.556835,73
225,64,161,-143,304,-108,412,250,162,27,135,-199,334,197,137,19,118,-83,201,-328,529,2718,132.692467,73
439,218,221,101,120,-188,308,125,183,-137,320,133,187,-628,815,611,204,114,90,-94,184,3071,203.005822,74
143,-669,812,549,263,63,200,-15,215,39,176,-1,177,-638,815,588,227,113,114,-26,140,3282,258.188409,74
143,-24,167,18,149,-448,597,342,255,-65,320,97,223,-296,519,315,204,114,90,-46,136,2803,163.529703,74
180,-32,212,76,136,-497,633,457,176,58,118,-131,249,93,156,-15,171,-156,327,237,90,2448,150.746385,75
140,-30,170,-71,241,-32,273,112,161,23,138,-333,471,315,156,-21,177,-12,189,3,186,2302,95.995928,75
66,-80,146,-32,178,-91,269,82,187,69,118,-115,233,81,152,-19,171,-156,327,179,148,1995,72.288689,75
406,132,274,26,248,157,91,-94,185,-151,336,12,324,-222,546,340,206,-52,258,36,222,3096,121.165477,76
570,471,99,-115,214,61,153,-7,160,-121,281,66,215,-331,546,374,172,-433,605,321,284,3299,184.302173,76
176,-47,223,-288,511,311,200,-34,234,-102,336,-48,384,247,137,-69,206,-52,258,-11,269,2934,106.998216,76
