Sigdist,AVXV,AYXV,VEL1Y,VEL1X,VEL4X,VEL4Y,VEL5,VEL6,VELCOR,Initdir,XSize,YSize,TotalTime,VeLXZero,VelYZero,AvPress,PIXELCENX,PIXELCENY,PTD,HDRATION,SET,DCHANGE,DUR1,DUR2,DUR3,DUR4,TIME3,TIME4,TIME5,TIME6,class
206.81,0.01,-0.02,-0.08,0.03,-21.49,6.33,-0.24,8.53,0,0,-0.65,1.99,1303.05,654.72,18.69,36,35,0.52,1327.38,669.05,143907087.6,1.99,18685,144,-18468,-217,-11518,-7151,0,8,52
4.98,0,-0.02,0,0.02,-1615.68,0,-0.47,0.17,0,0,-0.29,1.74,1037.76,595.65,14.57,36,22,0.63,1217.46,690.4,97249128.83,1.74,14573,128,-14573,0,-8188,-6369,17,17,52
617.23,0.03,-0.01,-0.01,0,-40.58,123.4,-0.27,-0.84,0,0,-0.17,3.78,1640.65,433.77,17.91,57,36,0.62,1236.01,736.69,375033416.4,3.78,17914,154,-15741,-2173,-10244,-7638,15,15,53
1515.22,0.08,0,0.11,0.01,0.31,-60.49,0.14,-0.02,0.02,0,-0.39,7.69,1515.22,197.16,18.28,39,36,0.55,1182.79,593.2,322934651.1,7.69,18275,133,-17018,-1257,-9637,-8621,0,8,53
1427.9,0.08,0,0,-0.02,-1.22,0,-0.11,-0.15,0.02,0,0.04,2.5,1786.61,714.18,18.92,61,42,0.57,1113.58,660.35,356202375.9,2.5,18924,162,-15920,-3004,-11174,-7734,13,13,53
879.95,0.07,-0.02,0.02,0.04,-17.64,36.92,-1.33,27,0.03,0,-0.1,3.28,1494.07,455.12,11.82,31,22,0.56,1275.33,602.34,130282946,3.28,11822,113,-10019,-1803,-5706,-6099,7,7,54
1018.04,0.05,0,0.02,0.05,-64.88,0,-5.03,0.48,0.02,0,0.98,2.51,1956.49,779.59,19.09,29,23,0.56,1426.19,754.83,170246862.9,2.51,19085,105,-16172,-2913,-11598,-7471,34,34,54
1883.58,0.14,-0.01,-0.02,-0.34,0.59,0,0.3,-0.01,0.12,0,-0.04,4.2,1883.58,448.39,13.01,28,20,0.61,1434.74,696.78,111756265.6,4.2,13006,101,-9518,-3488,-4828,-8161,17,17,54
1113.98,0.04,0.01,0,0,-0.19,-91.5,-0.01,-0.01,0,0,-0.19,4.66,1694.94,363.72,28.33,47,31,0.5,1170.55,658.38,423887165.4,4.66,28334,167,-21619,-6715,-13349,-14968,0,7,55
1136.29,0.07,0.01,-0.15,0.13,-1.83,-78.72,0.3,-0.81,0.01,0,-0.17,4.34,1831.97,422.39,15.9,26,28,0.62,1266.84,603.22,367042199.6,4.34,15900,140,-15139,-761,-3684,-12199,7,7,55
1117.39,0.07,0.02,-0.2,0.15,0.2,-44.95,0.18,0.01,0.02,0.01,-0.2,4.07,1648.55,404.95,15.31,32,26,0.61,1113.16,516.96,255542364.6,4.07,15307,142,-15055,-252,-3679,-11612,7,7,55
899.85,0.03,0.01,-0.08,0.34,-0.12,0,0.15,-0.01,0.02,0.01,-0.39,3.37,2094.72,621.6,35.77,131,98,0.7,1051.39,565.86,1579090387,3.37,35767,213,-25768,-9999,-8745,-27005,17,17,56
735.15,0.03,0.02,-0.34,0.07,-0.19,-6.12,0.07,-0.1,0.01,0.01,-0.27,3.99,2046.09,512.74,25.69,82,55,0.69,1197.71,633.42,1020939587,3.99,25688,166,-25454,-234,-6467,-19205,7,7,56
234.98,0.01,0,-0.09,0.24,-0.22,-11.52,0.09,-0.01,0,0,-0.28,3.62,1785.48,492.85,24.98,81,44,0.68,924.2,475.67,758619285,3.62,24977,144,-21277,-3700,-6408,-18552,0,8,56
1358.6,0.07,0.01,-0.36,0.06,-6.29,-27.07,-0.02,-0.2,0.02,0,-0.45,9.6,1518.24,158.18,19.28,36,35,0.51,892.38,1155.19,120038506,9.6,19281,170,-5280,-14001,-7245,-12019,0,0,57
787.44,0.02,0.02,0,0,-1.34,0,-0.02,0.02,0,0,-0.53,1.83,1488.81,811.66,42.59,45,40,0.48,841.82,1135.84,107189947,1.83,42593,180,-3228,-39365,-7945,-34631,15,0,57
1297.88,0.08,0.01,0.4,0,-8.01,-51.79,-0.39,-0.37,0,0,-0.41,10.71,1396.12,130.3,15.4,39,40,0.49,763.42,1176.68,97907810.19,10.71,15402,176,-1697,-13705,-8085,-7307,7,0,57
2348.41,0.09,0.01,-0.04,0.49,-3.16,-30.01,-0.27,-0.19,0.06,0,-0.29,9.28,2412.35,259.93,27.2,67,80,0.53,1280.28,223.6,1114590298,9.28,27195,248,-24702,-2493,-13840,-13338,17,17,58
1168.94,0.04,0,0,-0.01,-5.32,0,-0.03,-0.02,0.02,0,-0.17,9.29,1749.91,188.39,26,78,73,0.53,892.07,162.75,778358258,9.29,25999,243,-23975,-2024,-13132,-12851,8,8,58
1927.29,0.07,0,0,0,-4.39,-15.56,0.01,0.12,0,0,-0.38,12.43,2024.84,162.86,27.03,91,74,0.52,985.07,163.88,895522926.1,12.43,27027,254,-25825,-1202,-13447,-13564,8,8,58
1748.83,0.08,0,-0.08,0,-1.35,18.55,-0.02,0.21,0.1,0,-0.05,16.24,1924.07,118.51,21.55,61,47,0.42,1001.4,154.67,615744887.1,16.24,21549,145,-20894,-655,-10598,-10918,17,17,59
1584.32,0.08,0,0.16,-0.1,-1.05,0,-0.01,-0.04,0.08,0,-0.02,12.67,1733.14,136.83,19.1,53,42,0.51,997.99,149.75,495340081.6,12.67,19104,141,-19004,-100,-9503,-9584,16,16,59
1736.65,0.1,0,0,0,-0.54,0,0.48,0.3,0,0,0.03,13.88,1974.94,142.29,17.96,37,37,0.5,1077.78,129.35,502098126.4,13.88,17962,131,-17962,0,-9807,-8138,8,8,59
1279.37,0.09,0,-0.09,0.04,-1.72,-48.87,-0.16,0.12,0.02,0,-0.08,7.93,1296.42,163.44,13.54,37,34,0.46,754.56,822.47,180499276.9,7.93,13541,128,-5846,-7695,-6212,-7312,0,0,60
1129.18,0.08,0,-0.52,0.2,-0.86,-147.86,-0.07,-0.01,0.05,0,-0.29,7.07,1146.43,162.08,13.36,30,22,0.56,718.24,912.13,146757807.9,7.07,13358,119,-4822,-8536,-6072,-7270,17,0,60
1220.4,0.09,0,0,0,0.57,-147.67,0.08,0.45,0,0,-0.18,7.3,1224.98,167.83,12.9,44,31,0.56,711.65,864.93,178472717.9,7.3,12904,146,-4934,-7970,-6467,-6421,7,0,60
1834.7,0.12,0,0.01,-0.17,-1.71,-134.1,-0.2,-0.21,0.07,0,-0.1,8.64,1856.04,214.8,15.66,43,25,0.45,1055.52,318.26,324443116.9,8.64,15661,126,-13843,-1818,-7196,-8448,7,7,61
1502.71,0.08,0.01,-0.04,0.36,-14.18,0.88,-1.2,7.04,0.07,0,-0.14,6.85,2120.65,309.58,18.65,60,39,0.52,1241.5,328.06,368409593.3,6.85,18645,155,-17160,-1485,-7933,-10695,17,17,61
1344.33,0.08,-0.01,0.02,-0.21,-22.91,62.59,-0.26,0.92,0.03,0,-0.08,3.42,2169.67,634.76,17.51,49,41,0.54,1200.75,384.14,431306666.2,3.42,17508,143,-15289,-2219,-8340,-9152,7,7,61
1651.47,0.06,0,0,0,-1.78,-22.18,-0.02,-0.11,0,0,-0.04,4.3,1727.69,402.19,29.15,99,55,0.76,963.34,181.63,477647469.9,4.3,29149,224,-27216,-1933,-16555,-12577,0,7,62
1708.49,0.06,0.01,0,0,-1.63,-5.72,-0.05,-0.03,0,0,-0.03,4.15,1789.77,430.92,27.49,93,73,0.77,973.38,182.39,698369267.9,4.15,27485,242,-24724,-2761,-12569,-14908,0,8,62
1594.94,0.05,0,-0.01,-0.11,-1.66,-8.06,0.14,0.14,0.03,0,0.07,6.1,1668.53,273.66,32.81,88,71,0.72,902.78,145.43,529901763.1,6.1,32812,240,-32579,-233,-17016,-15780,0,9,62
378.36,0.02,0,-0.21,0,-2.12,0,-0.03,-0.01,0.01,0,0.03,4.32,956.97,221.62,22.24,23,23,0.58,755.36,295.13,25325807.79,4.32,22242,69,-22018,-224,-18704,-3522,0,7,63
1152.96,0.18,0.02,0.12,0.05,-1.2,-9.08,0.11,-0.22,0.07,0.01,-0.17,3.62,1214.36,335.46,6.48,22,20,0.63,1007.76,626.44,36666662.93,3.62,6475,75,-5462,-1013,-3106,-3353,8,8,63
1252.95,0.18,0.03,0,0.01,-0.81,0,0.53,0.48,0.04,0,-0.14,2.79,1289.21,462.45,7.09,27,24,0.62,1011.65,642.91,40357702.46,2.79,7091,83,-6136,-955,-3593,-3481,8,8,63
559.94,0.05,-0.07,0,0,-11.13,0,0.11,-0.32,0,0,-0.02,1.28,1291.55,1012.13,10.54,40,38,0.44,1110.65,562.15,80594066.83,1.28,10543,126,-10117,-426,-6389,-4117,8,8,64
797.45,0.08,-0.03,0.02,-0.02,-7.22,0,-0.14,8.1,0.03,0,-0.05,2.37,1254.22,530.01,10.54,42,33,0.47,1635.31,654.36,57144971.54,2.37,10538,131,-10538,0,-4978,-5544,13,13,64
670.28,0.07,-0.03,-0.02,0.23,-10.71,0,0.31,-0.24,0.04,0,-0.06,2.32,1135.42,489.06,9.48,31,33,0.43,1655.98,582.96,44024967.21,2.32,9480,123,-9480,0,-3987,-5476,0,8,64
-657.6,-0.07,-0.04,0,0,23.4,12.54,-0.51,-0.39,0,0,-0.5,2.37,1187.68,501.14,8.93,46,23,0.53,444.98,773.63,39573046.77,2.37,8933,95,-1020,-7913,-4517,-4383,0,0,65
-668.78,-0.08,-0.02,0.01,0.13,14.52,0,0.03,0.1,-0.03,0,0.03,3.88,1395.24,359.26,8.6,25,16,0.5,584.36,584.84,33619097.49,3.88,8599,77,-4024,-4575,-4624,-3958,6,0,65
877.91,0.08,0.05,-0.01,0.07,-12.02,0,-0.05,0.19,0.03,0,0.05,2.74,1956.75,714.53,10.88,34,19,0.55,763.03,648.48,35722988.22,2.74,10879,79,-7771,-3108,-6718,-4144,12,0,65
417.89,0.02,-0.04,-0.08,0.08,-9.94,0,0.14,-0.46,0.01,-0.01,-0.34,1.42,1248.47,881.14,17.56,52,32,0.49,1053.12,600.47,184549622.9,1.42,17564,144,-16437,-1127,-10532,-7015,0,16,66
638.25,0.05,-0.01,-0.01,0.08,-12.91,22.54,0.13,0.35,0.02,0,-0.83,3.08,1293.89,420.69,13.13,30,20,0.61,1056.66,673.04,128447760.3,3.08,13128,117,-10334,-2794,-6985,-6126,0,34,66
1454.99,0.12,0.01,0.01,0.01,-1.67,-9.51,0.27,-0.01,0.04,0,-0.11,3.02,1902.27,628.98,11.74,24,18,0.63,1230.85,681.49,143703083.3,3.02,11737,96,-10244,-1493,-5502,-6218,0,17,66
1832.85,0.08,0,-0.34,0.12,0.06,0,0.01,-0.07,0.02,0,-0.22,9.44,1832.85,194.24,21.61,73,53,0.47,955.23,216.46,547031244.5,9.44,21607,192,-19571,-2036,-9990,-11600,8,8,67
1492.83,0.07,0,-0.01,0.02,-0.62,0,0.1,0.08,0.03,0,-0.08,2.86,1653.13,578.79,22.73,59,49,0.5,939.39,185.85,372082452.4,2.86,22731,183,-22338,-393,-8882,-13832,7,7,67
784.98,0.04,-0.01,0,0,-15.02,0,-0.67,20.25,0.03,0,-0.11,2.55,1366.3,535.7,20.23,70,52,0.52,744.22,167.04,330298509.6,2.55,20227,197,-18859,-1368,-8834,-10739,0,7,67
1190.46,0.03,-0.01,0,-0.06,-9.77,0,-0.02,9.9,0,0,-0.27,2.48,2337.4,941.78,36.57,42,34,0.62,1298.88,756.06,261374351.6,2.48,36568,140,-22699,-13869,-18518,-18033,7,7,68
