VEL5,VEL6,TIME6,dtfk1,ft3,dtfk8,dtfk9,dtfk12,ft12,dtfk13,dtsk13,class
0.882774,0.212239,0.045802,0.112965,0.069585,0.24337,0.094512,0.11223,1.434783,0.354049,0.364341,62
0.876705,0.208897,0.035623,0.004376,0.035915,0.340094,0.118902,0.067626,0.415459,0.47081,0.546512,63
0.881761,0.204269,0.040712,0.001915,0.210999,0.293292,0.047256,0.225899,0.681159,1.295669,0.062016,63
0.896044,0.219594,0.040712,0.002188,0.246914,0.293292,2,0.067626,0.415459,1.472693,0.422481,63
0.881787,0.202003,0.040712,0.280908,0.244669,0.293292,0.118902,0.156835,0.227053,0.233522,0.364341,64
0.873266,0.38818,0.066158,0.117068,0.141414,2,0.143293,0.202878,0.188406,0.120527,0.182171,64
0.888482,0.203697,0.040712,0.133206,0.139169,0.293292,1.214939,0.156835,0.227053,0.410546,0.244186,64
0.860291,0.200523,0,0.164114,0.035915,0.146646,0,0.023022,0.188406,0.060264,0.182171,65
0.878784,0.2114,0,0.108315,0.069585,0.293292,0.214939,1.392806,0.152174,0.060264,0.062016,65
0.876113,0.213361,0,0.084245,0.035915,0.283931,1.120427,0.023022,0.188406,0.414313,0.360465,65
0.882809,0.198882,0.081425,0.505197,0.280584,0.390016,0.166159,0.133813,0.681159,1.295669,1.395349,66
0.88239,0.21689,0.173028,0.174234,0.035915,0.390016,0.332317,0.11223,0.34058,0.233522,1.333333,66
0.887241,0.208874,0.086514,0.02872,0.069585,0.293292,1.786585,0.133813,0.681159,0.354049,1.031008,66
0.878093,0.207568,0.040712,0.00465,0.210999,0.196568,0.094512,0.135252,0.113527,0.056497,0.182171,67
0.881386,0.210801,0.035623,0.171772,0.03367,0.290172,0.143293,0.156835,0.188406,0.233522,0.244186,67
0.855038,0.656817,0.035623,0.237965,0.105499,0.24337,1.347561,0.135252,0.113527,0.354049,0.182171,67
0.877322,0.427889,0.035623,0.055252,0.071829,0.193448,0,0.023022,0.113527,0.060264,0.062016,68
0.877526,0.205179,0.035623,0.001915,0.03367,0.193448,0.120427,0.135252,0.376812,0.060264,0.05814,68
0.884905,0.204133,0.035623,0.001915,0.03367,0.193448,1.071646,0.023022,0.113527,0.177024,0.364341,68
0.896376,0.215631,0.127226,0.188731,0.069585,0.390016,1.333841,0.158273,0.828502,0.414313,0.484496,69
0.837816,1.40303,0.040712,0.002188,0.316498,0.049922,0.167683,0.179856,0.301932,0.414313,0.422481,69
0.875874,0.204845,0.010178,0.193107,0.208754,0.533541,0.190549,0.158273,0.828502,0.410546,0.484496,69
0.863156,0.20442,0.086514,0.00465,0.035915,0.096724,1.001524,0.11223,0.038647,0.297552,0.182171,70
0.874082,0.205549,0.086514,0.00465,0.071829,0.046802,0.166159,0.156835,0.415459,0.237288,0.302326,70
0.86603,0.202625,0.035623,0.00465,0.035915,0.343214,0.096037,0.11223,0.038647,0.297552,0.24031,70
0.87493,0.205977,0.035623,0.001915,0.210999,0.293292,0.143293,0.11223,0.227053,0.47081,0.364341,71
0.871222,0.206627,0.086514,0,0.139169,0.293292,0.143293,0.156835,0.188406,0.060264,0.178295,71
0.879804,0.208693,0.040712,0.001915,0.105499,0.193448,1.428354,0.11223,0.227053,0.293785,0.302326,71
0.882235,0.206073,0,0,0.372615,0.24649,0.118902,0.090647,0.188406,0.305085,0.302326,72
0.881481,0.209329,0.076336,0.004103,0.109989,0.293292,0.262195,0.202878,0.149758,0.297552,0.329457,72
0.888147,0.195083,0,0,0.047138,0.146646,0.112805,0.090647,0.188406,0.293785,0.364341,72
0.875362,0.20871,0.035623,0.00465,0.175084,0.390016,0.096037,0.089209,0.077295,0.154426,0.302326,73
0.876431,0.208091,0.086514,0.00465,0.141414,0.196568,0.096037,0.181295,0.111111,0.177024,0.24031,73
0.876645,0.203164,0.040712,0,0.03367,0.293292,1.381098,0.089209,0.077295,0.173258,0.364341,73
0.880638,0.210475,0.035623,0,0.069585,0.340094,0.166159,0.269065,0.038647,0.410546,0.422481,74
0.880996,0.210859,0.035623,0.001915,0.489338,0.24337,0.166159,0.158273,0.224638,0.293785,0.360465,74
0.879065,0.207581,0.035623,0.001915,0.069585,0.196568,0.196646,0.269065,0.038647,0.237288,0.182171,74
0.886183,0.220769,0.040712,0.218818,0.103255,0.24337,0.096037,0.090647,0.036232,0.177024,0.244186,75
0.877383,0.209216,0.035623,0.001915,0.175084,0.24337,0.214939,0.179856,0.113527,0.177024,0.24031,75
0.869575,0.197097,0.040712,0.200219,0.105499,0.196568,0.120427,0.090647,0.036232,0.293785,0.244186,75
0.879302,0.208182,0.040712,0.002188,0.105499,1.316693,1.643293,0.067626,0.301932,0.233522,0.484496,76
0.871889,0.205642,0.040712,0.00465,0.139169,1.120125,0.094512,0.135252,0.188406,0.587571,0.302326,76
0.884375,0.206047,0.035623,0.002188,0.175084,0.293292,0,0.067626,0.301932,0.297552,0.422481,76
0.873532,0.201962,0.040712,0.001915,0.386083,0.340094,0.118902,0.11223,0.113527,0.056497,0.302326,77
0.884095,0.206088,0.035623,0,0.139169,0.343214,0.214939,0.156835,0.227053,1.544256,0.24031,77
0.882903,0.204564,0.035623,0.002188,0.244669,0.439938,1.262195,0.11223,0.113527,0.47081,0.422481,77
0.878612,0.210013,0,0.189004,2,0.24649,0.118902,0.11223,2,0.293785,0.302326,78
0.890241,0.214776,0,0.002188,0.561167,0.290172,0.190549,0.135252,0.149758,0.354049,0.306202,78
0.889946,0.20243,0,0.108862,0.527497,0.193448,0.167683,0.11223,2,0.233522,0.244186,78
0.874256,0.206543,0.086514,0.004376,0.175084,0.583463,0.094512,0.156835,0.077295,0.177024,0.302326,79
0.8777,0.208202,0,0.00465,0.105499,0.193448,0.143293,0.135252,0.224638,0,0.120155,79
0.870665,0.201009,0,0.004376,0.035915,0.293292,1.596037,0.156835,0.077295,0.293785,0.724806,79
0.879362,0.219811,0.081425,0.00465,0.035915,0.486739,0.192073,0.090647,0.038647,0.177024,0.062016,80
0.889244,0.215468,0.035623,0.002188,0.105499,0.290172,0.213415,0.023022,0.263285,0.233522,0.24031,80
0.922093,0.21225,0.081425,0.002188,0.139169,0.390016,1.792683,0.090647,0.038647,0.354049,0.302326,80
0.874657,0.20947,0.035623,0.002188,0.141414,0.24337,0.214939,0.133813,0.038647,0.293785,0.302326,81
0.86764,0.213084,0.035623,0,0.139169,0.290172,0.143293,0.135252,0.224638,0.293785,0.24031,81
0.85811,0.216631,0.111959,0.002188,0.141414,0.24649,0.118902,0.133813,0.038647,0.293785,0.302326,81
0.868269,0.204614,0,0,0,0.24337,0.856707,0.090647,0.036232,0.07533,0.302326,82
0.877118,0.20636,0.066158,0.00465,0.035915,0.293292,0.143293,0.156835,0.415459,0.120527,1.631783,82
0.872705,0.20478,0.081425,0.00465,0.035915,0.293292,1.096037,0.090647,0.036232,0.47081,0.484496,82
0.878105,0.210975,0.076336,0.001915,0.210999,0.293292,0.118902,0.090647,0.490338,0.233522,0.178295,83
0.874789,0.206563,0.040712,0.00465,0.280584,0.196568,0.190549,0.270504,0.149758,0.177024,0.244186,83
0.866841,0.205318,0.035623,0.00465,0.280584,0.196568,0.120427,0.090647,0.490338,0.237288,0.302326,83
